category,keyword,hits
profanity_ru,сука,14
profanity_ru,сучка,5
profanity_ru,блядь,1
profanity_ru,бля,42
profanity_ru,биля,6
profanity_ru,мудак,0
profanity_ru,мудила,0
profanity_ru,дебил,1
profanity_ru,урод,6
profanity_ru,тварь,1
profanity_ru,чмо,9
profanity_ru,чумо,5
profanity_ru,чмошник,2
profanity_ru,гнида,0
profanity_ru,пиздец,2
profanity_ru,пздц,3
profanity_ru,пизда,4
profanity_ru,хуй,22
profanity_ru,хуйня,3
profanity_ru,хуйло,0
profanity_ru,ебать,1
profanity_ru,ёбан,1
profanity_ru,ебан,1
profanity_ru,ёбаный,0
profanity_ky,коток,15
profanity_ky,котоктор,0
profanity_ky,котокбаш,2
profanity_ky,көтөк,0
profanity_ky,көтак,0
profanity_ky,көтәк,0
profanity_ky,эшек,82
profanity_ky,акмак,205
profanity_ky,акмок,0
profanity_ky,тентек,2
profanity_ky,жалап,31
profanity_ky,жаляп,1
profanity_ky,олтуру,135
profanity_ky,өлтүрү,24
profanity_ky,өлсүн,2
lgbt,пидор,5
lgbt,пидорас,0
lgbt,пидр,7
lgbt,педик,5
lgbt,гомик,1
lgbt,гомосек,0
lgbt,сгейн,0
lgbt,скейн,1
lgbt,голубой,9
ethnic,чурка,16
ethnic,чуркестан,0
ethnic,хач,0
ethnic,хачи,0
ethnic,хачик,0
ethnic,жид,1
ethnic,жидяр,0
ethnic,жидовк,0
ethnic,хохол,0
ethnic,кыргызня,0
ethnic,киргизня,0
ethnic,сарт,9
ethnic,узкоглаз,0
ethnic,пиндос,0
ethnic,манкурт,24
political,предатель,1
political,сатылган,18
political,продажн,10
political,либераст,0
political,ватник,0
political,ваты,0
